attribute,layer,pair_group,pair_count,t1_route_overlap,t2_route_overlap,branching_score
birth_city,0,different_t2,40000,0.9755166666666717,0.3679666666667994,0.6075499999998724
birth_city,0,same_t2,40000,0.9757666666666748,0.8481333333332465,0.1276333333334283
birth_city,1,different_t2,40000,0.9872999999999991,0.18017499999997083,0.8071250000000283
birth_city,1,same_t2,40000,0.9873666666666652,0.9213333333333152,0.06603333333334993
birth_city,2,different_t2,40000,0.7414499999998461,0.45090833333338504,0.29054166666646103
birth_city,2,same_t2,40000,0.7390249999998411,0.7340749999998502,0.004949999999990906
birth_city,3,different_t2,40000,0.45595000000006514,0.3177083333334073,0.13824166666665783
birth_city,3,same_t2,40000,0.4557416666667269,0.5402166666666107,-0.08447499999988384
birth_city,4,different_t2,40000,0.3360333333334387,0.3013166666667258,0.034716666666712914
birth_city,4,same_t2,40000,0.3360250000001045,0.4371750000001166,-0.10115000000001212
birth_city,5,different_t2,40000,0.36600833333347116,0.30928333333340474,0.05672500000006642
birth_city,5,same_t2,40000,0.3696666666668061,0.41201666666681386,-0.04235000000000777
birth_city,6,different_t2,40000,0.2552750000000119,0.4273166666667974,-0.1720416666667855
birth_city,6,same_t2,40000,0.25381666666667707,0.4678166666667032,-0.2140000000000261
birth_city,7,different_t2,40000,0.34102500000009367,0.2972583333333953,0.04376666666669837
birth_city,7,same_t2,40000,0.34340000000009857,0.41041666666681903,-0.06701666666672046
birth_city,8,different_t2,40000,0.3542416666667802,0.5166083333332873,-0.16236666666650706
birth_city,8,same_t2,40000,0.35473333333344365,0.5580249999999256,-0.20329166666648196
birth_city,9,different_t2,40000,0.45536666666675274,0.489050000000037,-0.03368333333328427
birth_city,9,same_t2,40000,0.4560750000000815,0.564166666666596,-0.10809166666651449
birth_city,10,different_t2,40000,0.29488333333339445,0.33773333333343525,-0.0428500000000408
birth_city,10,same_t2,40000,0.2968916666667304,0.4354666666667695,-0.13857500000003908
birth_city,11,different_t2,40000,0.464350000000051,0.41090833333350174,0.05344166666654926
birth_city,11,same_t2,40000,0.4632000000000503,0.4779250000000361,-0.014724999999985833
company,0,different_t2,36000,0.8312592592591754,0.29794444444447354,0.5333148148147019
company,0,same_t2,40000,0.8330166666665199,0.834149999999895,-0.001133333333375175
company,1,different_t2,36000,0.7929814814813357,0.22887037037032734,0.5641111111110084
company,1,same_t2,40000,0.7989166666664774,0.8428333333332281,-0.04391666666675065
company,2,different_t2,36000,0.6291203703702342,0.48600925925937877,0.1431111111108554
company,2,same_t2,40000,0.6660333333331935,0.7323749999998599,-0.06634166666666641
company,3,different_t2,36000,0.516361111111137,0.3314259259259775,0.1849351851851595
company,3,same_t2,40000,0.5382333333332375,0.6439666666665188,-0.10573333333328128
company,4,different_t2,36000,0.40443518518532723,0.346981481481559,0.05745370370376823
company,4,same_t2,40000,0.41645833333348575,0.541449999999949,-0.12499166666646327
company,5,different_t2,36000,0.3127314814815245,0.31670370370375694,-0.003972222222232424
company,5,same_t2,40000,0.3465000000001045,0.48214166666668107,-0.13564166666657657
company,6,different_t2,36000,0.2592685185185043,0.3633333333334371,-0.1040648148149328
company,6,same_t2,40000,0.2834166666667199,0.4596333333333984,-0.1762166666666785
company,7,different_t2,36000,0.5016574074074833,0.36546296296306546,0.13619444444441786
company,7,same_t2,40000,0.5044833333333019,0.560608333333252,-0.05612499999995013
company,8,different_t2,36000,0.34858333333342534,0.508212962963038,-0.15962962962961263
company,8,same_t2,40000,0.37901666666681033,0.5919916666665813,-0.212974999999771
company,9,different_t2,36000,0.4975555555556602,0.48372222222233124,0.013833333333328979
company,9,same_t2,40000,0.5153583333332958,0.5706083333332248,-0.05524999999992897
company,10,different_t2,36000,0.5169444444444868,0.4739074074075306,0.043037037036956216
company,10,same_t2,40000,0.5138249999999541,0.5718499999999243,-0.05802499999997013
company,11,different_t2,36000,0.49431481481490797,0.42155555555570984,0.07275925925919813
company,11,same_t2,40000,0.49494999999999756,0.5452749999999159,-0.05032499999991835
company_city,0,different_t2,40000,0.9757833333332976,0.36652500000013144,0.6092583333331661
company_city,0,same_t2,42000,0.9759206349205926,0.8368650793650335,0.13905555555555904
company_city,1,different_t2,40000,0.9887500000000011,0.1822666666666367,0.8064833333333644
company_city,1,same_t2,42000,0.9877936507936637,0.9074444444444414,0.08034920634922227
company_city,2,different_t2,40000,0.7368249999997578,0.4529333333333975,0.2838916666663603
company_city,2,same_t2,42000,0.7491746031743582,0.7474126984124801,0.001761904761878097
company_city,3,different_t2,40000,0.4547833333333967,0.31915000000008376,0.13563333333331296
company_city,3,same_t2,42000,0.45498412698415136,0.5502222222221228,-0.09523809523797144
company_city,4,different_t2,40000,0.3345916666667599,0.30110000000006665,0.03349166666669323
company_city,4,same_t2,42000,0.3315000000001045,0.44949206349210535,-0.11799206349200086
company_city,5,different_t2,40000,0.36962500000013726,0.308633333333403,0.06099166666673428
company_city,5,same_t2,42000,0.37192857142872005,0.42293650793659576,-0.05100793650787572
company_city,6,different_t2,40000,0.2558916666666808,0.42373333333348445,-0.16784166666680367
company_city,6,same_t2,42000,0.25918253968257243,0.47635714285713854,-0.2171746031745661
company_city,7,different_t2,40000,0.3427583333334303,0.29555833333339326,0.047200000000037046
