attribute,layer,same_t2_branching_score,different_t2_branching_score,difference_in_differences,same_t2_pair_count,different_t2_pair_count,t1_top1_token_nmi,t2_top1_token_nmi
birth_city,0,0.1276333333334283,0.6075499999998724,0.47991666666644406,40000,40000,0.45756894079496735,0.5581297699026094
birth_city,1,0.06603333333334993,0.8071250000000283,0.7410916666666784,40000,40000,0.4943774293444202,0.6054373346686687
birth_city,2,0.004949999999990906,0.29054166666646103,0.2855916666664701,40000,40000,0.5091980012287206,0.22070598453202186
birth_city,3,-0.08447499999988384,0.13824166666665783,0.22271666666654166,40000,40000,0.04146699226194905,0.24579178442521032
birth_city,4,-0.10115000000001212,0.034716666666712914,0.13586666666672503,40000,40000,0.12880636067205778,0.13234061126220426
birth_city,5,-0.04235000000000777,0.05672500000006642,0.09907500000007419,40000,40000,0.057792022854394436,0.13012180777730595
birth_city,6,-0.2140000000000261,-0.1720416666667855,0.041958333333240616,40000,40000,0.024903697558044034,0.03071212245933959
birth_city,7,-0.06701666666672046,0.04376666666669837,0.11078333333341883,40000,40000,0.10606786642941471,0.10423664579874879
birth_city,8,-0.20329166666648196,-0.16236666666650706,0.0409249999999749,40000,40000,0.05637905554772384,0.024426618281508692
birth_city,9,-0.10809166666651449,-0.03368333333328427,0.07440833333323021,40000,40000,0.029495992559046662,0.07310650480982295
birth_city,10,-0.13857500000003908,-0.0428500000000408,0.09572499999999828,40000,40000,0.02792909444528266,0.06986181262470917
birth_city,11,-0.014724999999985833,0.05344166666654926,0.06816666666653509,40000,40000,0.004402840811291337,0.07117893050563352
university,0,0.15941666666680965,0.7088583333333157,0.5494416666665061,40000,40000,0.45915742806881504,0.5626143540905365
university,1,0.12986666666675228,0.749625000000023,0.6197583333332707,40000,40000,0.49366206927064665,0.4973505728840855
university,2,0.025299999999985667,0.23797499999981764,0.21267499999983197,40000,40000,0.5075296187992808,0.22584316706083185
university,3,-0.11629999999985147,0.18941666666668733,0.3057166666665388,40000,40000,0.043498884186653854,0.3535178546053884
university,4,-0.10041666666666837,0.057033333333393665,0.15745000000006204,40000,40000,0.1333805104299949,0.16213527925020482
university,5,-0.040666666666684614,0.07379166666673992,0.11445833333342453,40000,40000,0.05727372378141798,0.12685911149095783
university,6,-0.21488333333335574,-0.1258416666668109,0.08904166666654484,40000,40000,0.025649233073288605,0.08081443097270091
university,7,-0.09342499999998893,0.059775000000057144,0.15320000000004608,40000,40000,0.10481622053531515,0.13957208906380078
university,8,-0.20792499999980013,-0.11353333333326487,0.09439166666653526,40000,40000,0.05625822302570501,0.06735998948924472
university,9,-0.09471666666655182,-0.018583333333332286,0.07613333333321953,40000,40000,0.02791514781092826,0.08996552947090918
university,10,-0.12701666666673034,-0.059208333333386376,0.06780833333334396,40000,40000,0.02749942783815322,0.053201396621371015
