attribute,examples,accuracy_before,accuracy_after,accuracy_delta,baseline_errors,recovered_errors,recovery_rate,baseline_correct,harmed_correct,harm_rate
birth_city,50118,0.12919509956502653,0.1292948641206752,9.976455564866815e-05,43643,813,0.018628416928258826,6475,808,0.12478764478764479
university,50118,0.08483977812362824,0.08497944850153638,0.00013967037790814374,45866,540,0.011773426939345048,4252,533,0.12535277516462842
major,50118,0.4732231932638972,0.4970270162416697,0.02380382297777245,26401,2511,0.09511003371084428,23717,1318,0.05557195260783404
company,50118,0.4596751666068079,0.3551817710203919,-0.10449339558641602,27080,2512,0.09276218611521418,23038,7749,0.3363573226842608
company_city,50118,0.5103755137874616,0.537631190390678,0.027255676603216372,24539,2633,0.1072985859244468,25579,1267,0.049532819891317095
micro_overall,250590,0.3314617502693643,0.3208228580549902,-0.010638892214374085,167529,9009,0.05377576419604964,83061,11675,0.14055934794909766
