W0721 04:56:13.632000 191456 torch/distributed/run.py:793] 
W0721 04:56:13.632000 191456 torch/distributed/run.py:793] *****************************************
W0721 04:56:13.632000 191456 torch/distributed/run.py:793] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0721 04:56:13.632000 191456 torch/distributed/run.py:793] *****************************************
[init] run=synbios_moe_single_fsdp_4gpu device=cuda:0 strategy=fsdp world=4 params=293494272
[parallel_ready] {"event": "parallel_ready", "strategy": "fsdp", "fsdp_units": 13, "auto_wrap_policy": "transformer_block", "sharding_strategy": "full_shard"}
[train] batch 32/32 | epoch 3/540 | loss 2.37897 | lr 9.600e-05 | grad 2.203 | data-wait 0.0% | tok/s 348,332.8 | gpu-peak 20.39/23.65 GiB | gpu-util 98.5% | 0.6% | ETA 3:18:57
[train] batch 4/32 | epoch 4/540 | loss 2.21170 | lr 1.000e-04 | grad 1.277 | data-wait 0.9% | tok/s 336,699.7 | gpu-peak 20.39/23.65 GiB | gpu-util 95.9% | 0.6% | ETA 3:18:45
[train] batch 8/32 | epoch 4/540 | loss 2.06491 | lr 1.040e-04 | grad 0.903 | data-wait 0.2% | tok/s 347,252.9 | gpu-peak 20.39/23.65 GiB | gpu-util 98.3% | 0.6% | ETA 3:18:20
[train] batch 12/32 | epoch 4/540 | loss 1.94675 | lr 1.080e-04 | grad 0.774 | data-wait 0.2% | tok/s 348,467.9 | gpu-peak 20.39/23.65 GiB | gpu-util 98.4% | 0.6% | ETA 3:17:55
[train] batch 16/32 | epoch 4/540 | loss 1.83070 | lr 1.120e-04 | grad 0.573 | data-wait 0.2% | tok/s 347,385.6 | gpu-peak 20.39/23.65 GiB | gpu-util 97.6% | 0.6% | ETA 3:17:33
[train] batch 20/32 | epoch 4/540 | loss 1.70853 | lr 1.160e-04 | grad 0.664 | data-wait 0.2% | tok/s 345,867.5 | gpu-peak 20.39/23.65 GiB | gpu-util 98.2% | 0.7% | ETA 3:17:14
[train] batch 24/32 | epoch 4/540 | loss 1.57599 | lr 1.200e-04 | grad 1.447 | data-wait 0.2% | tok/s 345,093.0 | gpu-peak 20.39/23.65 GiB | gpu-util 98.2% | 0.7% | ETA 3:16:57
[train] batch 28/32 | epoch 4/540 | loss 1.44924 | lr 1.240e-04 | grad 0.751 | data-wait 0.1% | tok/s 349,357.7 | gpu-peak 20.39/23.65 GiB | gpu-util 98.4% | 0.7% | ETA 3:16:37
[train] batch 32/32 | epoch 4/540 | loss 1.37443 | lr 1.280e-04 | grad 0.407 | data-wait 0.0% | tok/s 347,277.2 | gpu-peak 20.39/23.65 GiB | gpu-util 98.6% | 0.7% | ETA 3:16:19
[train] batch 4/32 | epoch 5/540 | loss 1.32962 | lr 1.320e-04 | grad 0.292 | data-wait 0.7% | tok/s 340,799.8 | gpu-peak 20.39/23.65 GiB | gpu-util 96.1% | 0.8% | ETA 3:16:09
