category,filename,bytes,modified_utc,sha256,mounted_path,git_safe_path
engineering_validation,fidelity_fsdp4_preflight_r2.log,12185,2026-07-20T20:54:31.003407+00:00,e63c2a8537703564b0c80044c3b81fb96400326f32ae20a41b171d084f72075d,/data/mini-train-sys/artifacts/logs/fidelity_fsdp4_preflight_r2.log,results/logs/validation/fidelity_fsdp4_preflight_r2.log
engineering_validation,fidelity_gpu_telemetry_tests.log,3233,2026-07-20T20:52:19.869238+00:00,04b493bd61090bd3d975040b0ecc823f5079903cea5c93681a4096812d3f4bb6,/data/mini-train-sys/artifacts/logs/fidelity_gpu_telemetry_tests.log,results/logs/validation/fidelity_gpu_telemetry_tests.log
engineering_validation,fidelity_gpu_telemetry_tests_rerun.log,1282,2026-07-20T20:52:53.860762+00:00,d82151c5c86cc5b7ac2a73f9cef1cef9196d6d27388c253e8ae4246dfe7db2d7,/data/mini-train-sys/artifacts/logs/fidelity_gpu_telemetry_tests_rerun.log,results/logs/validation/fidelity_gpu_telemetry_tests_rerun.log
infrastructure,final_export_r2_20260726T031900Z.log,271589,2026-07-26T03:19:24.709368+00:00,855381e28eaff38378025d5a0d4efae797f65a8d4f41d967bad018dcc58991e5,/data/mini-train-sys/artifacts/logs/final_export_r2_20260726T031900Z.log,results/logs/maintenance/final_export_r2_20260726T031900Z.log
infrastructure,final_export_r2_20260726T031900Z.status,2,2026-07-26T03:19:24.709368+00:00,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,/data/mini-train-sys/artifacts/logs/final_export_r2_20260726T031900Z.status,results/logs/maintenance/final_export_r2_20260726T031900Z.status
engineering_validation,final_regression_20260726T025900Z.log,1363,2026-07-26T02:59:55.618702+00:00,f294288156b656ede21c5001160030da708d35e34fa16ec2ea15ef545c78c874,/data/mini-train-sys/artifacts/logs/final_regression_20260726T025900Z.log,results/logs/validation/final_regression_20260726T025900Z.log
engineering_validation,final_regression_20260726T025900Z.status,2,2026-07-26T02:59:56.574684+00:00,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,/data/mini-train-sys/artifacts/logs/final_regression_20260726T025900Z.status,results/logs/validation/final_regression_20260726T025900Z.status
engineering_validation,final_regression_r2_20260726T031800Z.log,1363,2026-07-26T03:19:02.377634+00:00,e27eb311d6adfaf94bb5138ec905fa10e43929f0476b64aca7e1b577df10700d,/data/mini-train-sys/artifacts/logs/final_regression_r2_20260726T031800Z.log,results/logs/validation/final_regression_r2_20260726T031800Z.log
engineering_validation,final_regression_r2_20260726T031800Z.status,2,2026-07-26T03:19:03.329623+00:00,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,/data/mini-train-sys/artifacts/logs/final_regression_r2_20260726T031800Z.status,results/logs/validation/final_regression_r2_20260726T031800Z.status
engineering_validation,final_train_push_gate_20260726T050500Z.log,0,2026-07-26T05:06:04.269532+00:00,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,/data/mini-train-sys/artifacts/logs/final_train_push_gate_20260726T050500Z.log,results/logs/maintenance/final_train_push_gate_20260726T050500Z.log
probe,formal_probe_comparison_20260724_0052.log,5154,2026-07-23T17:00:15.257967+00:00,52462fd5dd890967e76b9d46f6205b550a4752521d05398bd02362d6c3a2e40c,/data/mini-train-sys/artifacts/logs/formal_probe_comparison_20260724_0052.log,results/logs/experiments/formal_probe_comparison_20260724_0052.log
infrastructure,formal_report_export_20260724_0102.log,94,2026-07-23T17:00:43.637520+00:00,5d47a2cdd5490e148cceb6b9e941902a9c8550f931a9fa4a0a60821e31133825,/data/mini-train-sys/artifacts/logs/formal_report_export_20260724_0102.log,results/logs/maintenance/formal_report_export_20260724_0102.log
engineering_validation,ground_truth_first_full_regression_20260725T095900Z.log,1344,2026-07-25T09:58:37.128857+00:00,9bf193f441f69803b37225a52bdc271294903a8b1da6a6353651993d08c2e763,/data/mini-train-sys/artifacts/logs/ground_truth_first_full_regression_20260725T095900Z.log,results/logs/experiments/ground_truth_first_full_regression_20260725T095900Z.log
engineering_validation,ground_truth_first_full_regression_20260725T095900Z.status,1,2026-07-25T09:58:38.080862+00:00,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,/data/mini-train-sys/artifacts/logs/ground_truth_first_full_regression_20260725T095900Z.status,results/logs/experiments/ground_truth_first_full_regression_20260725T095900Z.status
engineering_validation,ground_truth_first_pval_boundary_20260725T094600Z.log,6308,2026-07-25T09:50:49.078447+00:00,6a5355812b5c82c41bad30a57a3c23838d2ff3340bb2dbce5422ab0afed53b09,/data/mini-train-sys/artifacts/logs/ground_truth_first_pval_boundary_20260725T094600Z.log,results/logs/experiments/ground_truth_first_pval_boundary_20260725T094600Z.log
engineering_validation,ground_truth_first_pval_boundary_20260725T094600Z.status,1,2026-07-25T09:50:49.606450+00:00,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,/data/mini-train-sys/artifacts/logs/ground_truth_first_pval_boundary_20260725T094600Z.status,results/logs/experiments/ground_truth_first_pval_boundary_20260725T094600Z.status
engineering_validation,install_nvidia_ml_py.log,254,2026-07-20T20:49:13.991862+00:00,3039168100f44b91a0782f365d04f87c388b2891ad0829a73577fa3aee0724ae,/data/mini-train-sys/artifacts/logs/install_nvidia_ml_py.log,results/logs/maintenance/install_nvidia_ml_py.log
infrastructure,kernel_export_20260725T090000Z.log,193,2026-07-25T09:00:54.051249+00:00,67c1ef2b6bd6e354ded074adec97c60c8329380df8fd119a32e945c3dbd4ee4b,/data/mini-train-sys/artifacts/logs/kernel_export_20260725T090000Z.log,results/logs/benchmarks/kernel_export_20260725T090000Z.log
infrastructure,kernel_export_20260725T090000Z.status,2,2026-07-25T09:00:54.055249+00:00,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,/data/mini-train-sys/artifacts/logs/kernel_export_20260725T090000Z.status,results/logs/benchmarks/kernel_export_20260725T090000Z.status
engineering_validation,kernel_extensions_20260725T085100Z.log,215,2026-07-25T08:53:13.841105+00:00,d9b37cc4e6e3c6a73428778a23a0c48715bb52529b7cf43cc40806cbab1d6eab,/data/mini-train-sys/artifacts/logs/kernel_extensions_20260725T085100Z.log,results/logs/benchmarks/kernel_extensions_20260725T085100Z.log
engineering_validation,kernel_extensions_20260725T085100Z.status,2,2026-07-25T08:53:14.593099+00:00,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,/data/mini-train-sys/artifacts/logs/kernel_extensions_20260725T085100Z.status,results/logs/benchmarks/kernel_extensions_20260725T085100Z.status
engineering_validation,kernel_industrial_20260725T082500Z.log,218,2026-07-25T08:41:13.968686+00:00,6de4d0e9ca96b7207beb943512463334abb5271913fb20032695eaa1c037e903,/data/mini-train-sys/artifacts/logs/kernel_industrial_20260725T082500Z.log,results/logs/benchmarks/kernel_industrial_20260725T082500Z.log
engineering_validation,kernel_industrial_20260725T082500Z.status,2,2026-07-25T08:41:13.980686+00:00,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,/data/mini-train-sys/artifacts/logs/kernel_industrial_20260725T082500Z.status,results/logs/benchmarks/kernel_industrial_20260725T082500Z.status
