All checks passed!
........................................................................ [ 61%]
.............................................                            [100%]
=============================== warnings summary ===============================
tests/test_checkpoint_contract.py::test_full_checkpoint_resumes_adam_but_model_reader_ignores_it
tests/test_checkpoint_contract.py::test_safety_checkpoint_without_model_export_restores_training_state
  /home/ubuntu/mini-train-sys/.venv/lib/python3.10/site-packages/torch/distributed/checkpoint/state_dict_saver.py:143: UserWarning: torch.distributed is unavailable or uninitialized, assuming the intent is to save in a single process.
    warnings.warn(

tests/test_checkpoint_contract.py::test_full_checkpoint_resumes_adam_but_model_reader_ignores_it
tests/test_checkpoint_contract.py::test_safety_checkpoint_without_model_export_restores_training_state
tests/test_distributed_checkpoint.py::test_ddp_checkpoint_reshards_into_single_process
  /home/ubuntu/mini-train-sys/.venv/lib/python3.10/site-packages/torch/distributed/checkpoint/state_dict_loader.py:142: UserWarning: torch.distributed is unavailable or uninitialized, assuming the intent is to load in a single process.
    warnings.warn(

-- Docs: https://docs.pytest.org/en/stable/how-to/capture-warnings.html
117 passed, 5 warnings in 15.66s
{
  "valid": true,
  "cache": "/data/mini-train-sys/artifacts/synbios_moe/single/probe_cache",
  "source_data": "/data/mini-train-sys/artifacts/synbios_moe/single",
  "profiles": 100000,
  "p_examples": 100000,
  "q_examples": 100000,
  "coverage_complete": true,
  "missing_validation_class_counts": {},
  "missing_validation_classes": {}
}
[model_load] step 1/1 | tok/s 0.0 | items/s 0.0 | gpu-peak 1.09/23.65 GiB | 100.0% | ETA 0:00:00
[model_load] step 1/1 | tok/s 0.0 | items/s 0.0 | gpu-peak 1.09/23.65 GiB | 100.0% | ETA 0:00:00
[model_load] step 1/1 | tok/s 0.0 | items/s 0.0 | gpu-peak 1.09/23.65 GiB | 100.0% | ETA 0:00:00
[model_load] step 1/1 | tok/s 0.0 | items/s 0.0 | gpu-peak 1.09/23.65 GiB | 100.0% | ETA 0:00:00
[probe_train] step 1/4000 | loss 5.69086 | lr 1.000e-03 | acc 0.0000 | grad 2.547 | data-wait 5.6% | tok/s 4,500.8 | gpu-peak 8.11/23.65 GiB | gpu-util 5.8% | 0.0% | ETA 2:22:09
[probe_train] step 1/4000 | loss 5.48807 | lr 1.000e-03 | acc 0.0000 | grad 2.527 | data-wait 11.3% | tok/s 4,221.9 | gpu-peak 8.11/23.65 GiB | gpu-util 6.9% | 0.0% | ETA 2:31:33
[probe_train] step 1/4000 | loss 5.86945 | lr 1.000e-03 | acc 0.0000 | grad 2.490 | data-wait 7.6% | tok/s 4,331.5 | gpu-peak 8.11/23.65 GiB | gpu-util 7.1% | 0.0% | ETA 2:27:43
[probe_train] step 1/4000 | loss 4.77648 | lr 1.000e-03 | acc 0.0000 | grad 2.853 | data-wait 6.1% | tok/s 4,341.8 | gpu-peak 8.11/23.65 GiB | gpu-util 2.7% | 0.0% | ETA 2:27:22
[probe_train] step 100/4000 | loss 3.08690 | lr 9.752e-04 | acc 0.1246 | grad 2.379 | data-wait 4.3% | tok/s 43,197.2 | gpu-peak 8.77/23.65 GiB | gpu-util 82.7% | 2.5% | ETA 0:14:50
[probe_train] step 100/4000 | loss 1.54431 | lr 9.752e-04 | acc 0.2943 | grad 2.185 | data-wait 4.3% | tok/s 42,791.1 | gpu-peak 8.77/23.65 GiB | gpu-util 80.0% | 2.5% | ETA 0:14:58
[probe_train] step 100/4000 | loss 2.72691 | lr 9.752e-04 | acc 0.1261 | grad 2.456 | data-wait 4.0% | tok/s 42,388.4 | gpu-peak 8.77/23.65 GiB | gpu-util 81.0% | 2.5% | ETA 0:15:07
[probe_train] step 100/4000 | loss 2.52536 | lr 9.752e-04 | acc 0.1732 | grad 2.435 | data-wait 6.8% | tok/s 40,091.1 | gpu-peak 8.76/23.65 GiB | gpu-util 75.4% | 2.5% | ETA 0:15:59
[probe_train] step 200/4000 | loss 2.32253 | lr 9.502e-04 | acc 0.2621 | grad 2.287 | data-wait 3.0% | tok/s 44,946.0 | gpu-peak 8.77/23.65 GiB | gpu-util 82.0% | 5.0% | ETA 0:13:53
[probe_train] step 200/4000 | loss 2.44048 | lr 9.502e-04 | acc 0.2159 | grad 2.222 | data-wait 3.0% | tok/s 44,144.2 | gpu-peak 8.77/23.65 GiB | gpu-util 81.0% | 5.0% | ETA 0:14:08
[probe_train] step 200/4000 | loss 1.52138 | lr 9.502e-04 | acc 0.3775 | grad 2.188 | data-wait 3.6% | tok/s 44,095.0 | gpu-peak 8.77/23.65 GiB | gpu-util 78.5% | 5.0% | ETA 0:14:09
[probe_train] step 200/4000 | loss 1.94521 | lr 9.502e-04 | acc 0.3274 | grad 2.247 | data-wait 6.0% | tok/s 41,544.9 | gpu-peak 8.76/23.65 GiB | gpu-util 74.7% | 5.0% | ETA 0:15:01
[probe_train] step 300/4000 | loss 2.26689 | lr 9.252e-04 | acc 0.3562 | grad 2.209 | data-wait 3.0% | tok/s 45,450.6 | gpu-peak 8.77/23.65 GiB | gpu-util 81.8% | 7.5% | ETA 0:13:22
[probe_train] step 300/4000 | loss 2.39998 | lr 9.252e-04 | acc 0.2825 | grad 2.235 | data-wait 3.1% | tok/s 44,518.0 | gpu-peak 8.77/23.65 GiB | gpu-util 80.5% | 7.5% | ETA 0:13:38
[probe_train] step 300/4000 | loss 1.55395 | lr 9.252e-04 | acc 0.4070 | grad 2.030 | data-wait 3.2% | tok/s 44,492.0 | gpu-peak 8.77/23.65 GiB | gpu-util 78.7% | 7.5% | ETA 0:13:39
[probe_train] step 300/4000 | loss 1.76430 | lr 9.252e-04 | acc 0.4034 | grad 2.185 | data-wait 6.1% | tok/s 41,952.7 | gpu-peak 8.76/23.65 GiB | gpu-util 74.2% | 7.5% | ETA 0:14:28
[probe_train] step 400/4000 | loss 2.00649 | lr 9.002e-04 | acc 0.4113 | grad 2.066 | data-wait 3.0% | tok/s 45,654.8 | gpu-peak 8.77/23.65 GiB | gpu-util 81.6% | 10.0% | ETA 0:12:57
[probe_train] step 400/4000 | loss 2.33432 | lr 9.002e-04 | acc 0.3040 | grad 2.223 | data-wait 3.0% | tok/s 44,725.8 | gpu-peak 8.77/23.65 GiB | gpu-util 80.5% | 10.0% | ETA 0:13:13
[probe_train] step 400/4000 | loss 1.44898 | lr 9.002e-04 | acc 0.4241 | grad 1.887 | data-wait 3.2% | tok/s 44,702.8 | gpu-peak 8.77/23.65 GiB | gpu-util 79.0% | 10.0% | ETA 0:13:13
[probe_train] step 400/4000 | loss 1.62401 | lr 9.002e-04 | acc 0.4442 | grad 2.000 | data-wait 3.5% | tok/s 42,490.3 | gpu-peak 8.76/23.65 GiB | gpu-util 76.9% | 10.0% | ETA 0:13:55
[probe_train] step 500/4000 | loss 2.07510 | lr 8.752e-04 | acc 0.4488 | grad 2.089 | data-wait 3.0% | tok/s 45,686.0 | gpu-peak 8.77/23.65 GiB | gpu-util 80.7% | 12.5% | ETA 0:12:35
[probe_train] step 500/4000 | loss 2.17911 | lr 8.752e-04 | acc 0.3267 | grad 2.110 | data-wait 3.1% | tok/s 44,865.4 | gpu-peak 8.77/23.65 GiB | gpu-util 80.7% | 12.5% | ETA 0:12:49
