[model_load] step 1/1 | tok/s 0.0 | items/s 0.0 | gpu-peak 1.09/23.65 GiB | 100.0% | ETA 0:00:00
[cloze_evaluate] {"event": "cloze_evaluate", "step": 1, "batch": 1, "batches_total": 977, "progress_percent": 0.102, "elapsed_seconds": 3.224, "eta_seconds": 3146.199, "items_processed": 128, "items_per_sec": 39.708, "tokens_processed": 171294, "tokens_per_sec": 53138.079, "field_accuracy_running": 1.0, "all_fields_accuracy_running": 1.0, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 1854.0, "gpu_peak_memory_allocated_mb": 1449.3, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 1854.0, "gpu_peak_memory_allocated_mb_max": 1449.3, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 1854.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 7.66, "gpu_memory_peak_percent_max": 5.98, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 50, "batch": 50, "batches_total": 977, "progress_percent": 5.118, "elapsed_seconds": 125.567, "eta_seconds": 2328.013, "items_processed": 6400, "items_per_sec": 50.969, "tokens_processed": 8655199, "tokens_per_sec": 68928.916, "field_accuracy_running": 0.9999739583333334, "all_fields_accuracy_running": 0.99984375, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2040.0, "gpu_peak_memory_allocated_mb": 1466.07, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2040.0, "gpu_peak_memory_allocated_mb_max": 1466.07, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2040.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.42, "gpu_memory_peak_percent_max": 6.05, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 100, "batch": 100, "batches_total": 977, "progress_percent": 10.235, "elapsed_seconds": 250.2, "eta_seconds": 2194.253, "items_processed": 12800, "items_per_sec": 51.159, "tokens_processed": 17265568, "tokens_per_sec": 69007.103, "field_accuracy_running": 0.9999739583333334, "all_fields_accuracy_running": 0.99984375, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2040.0, "gpu_peak_memory_allocated_mb": 1466.07, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2040.0, "gpu_peak_memory_allocated_mb_max": 1466.07, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2040.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.42, "gpu_memory_peak_percent_max": 6.05, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 150, "batch": 150, "batches_total": 977, "progress_percent": 15.353, "elapsed_seconds": 375.327, "eta_seconds": 2069.302, "items_processed": 19200, "items_per_sec": 51.155, "tokens_processed": 25872404, "tokens_per_sec": 68933.009, "field_accuracy_running": 0.9999392361111111, "all_fields_accuracy_running": 0.9997916666666666, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2040.0, "gpu_peak_memory_allocated_mb": 1466.07, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2040.0, "gpu_peak_memory_allocated_mb_max": 1466.07, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2040.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.42, "gpu_memory_peak_percent_max": 6.05, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 200, "batch": 200, "batches_total": 977, "progress_percent": 20.471, "elapsed_seconds": 500.198, "eta_seconds": 1943.268, "items_processed": 25600, "items_per_sec": 51.18, "tokens_processed": 34489162, "tokens_per_sec": 68951.081, "field_accuracy_running": 0.99994140625, "all_fields_accuracy_running": 0.999765625, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2136.0, "gpu_peak_memory_allocated_mb": 1469.05, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2136.0, "gpu_peak_memory_allocated_mb_max": 1469.05, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2136.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.82, "gpu_memory_peak_percent_max": 6.07, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 250, "batch": 250, "batches_total": 977, "progress_percent": 25.589, "elapsed_seconds": 625.076, "eta_seconds": 1817.72, "items_processed": 32000, "items_per_sec": 51.194, "tokens_processed": 43116326, "tokens_per_sec": 68977.773, "field_accuracy_running": 0.9999427083333333, "all_fields_accuracy_running": 0.99975, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2136.0, "gpu_peak_memory_allocated_mb": 1469.05, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2136.0, "gpu_peak_memory_allocated_mb_max": 1469.05, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2136.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.82, "gpu_memory_peak_percent_max": 6.07, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 300, "batch": 300, "batches_total": 977, "progress_percent": 30.706, "elapsed_seconds": 749.66, "eta_seconds": 1691.732, "items_processed": 38400, "items_per_sec": 51.223, "tokens_processed": 51697840, "tokens_per_sec": 68961.736, "field_accuracy_running": 0.9999435763888889, "all_fields_accuracy_running": 0.9997395833333333, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2136.0, "gpu_peak_memory_allocated_mb": 1469.05, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2136.0, "gpu_peak_memory_allocated_mb_max": 1469.05, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2136.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.82, "gpu_memory_peak_percent_max": 6.07, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 350, "batch": 350, "batches_total": 977, "progress_percent": 35.824, "elapsed_seconds": 874.943, "eta_seconds": 1567.398, "items_processed": 44800, "items_per_sec": 51.203, "tokens_processed": 60324196, "tokens_per_sec": 68946.406, "field_accuracy_running": 0.999936755952381, "all_fields_accuracy_running": 0.9996875, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2136.0, "gpu_peak_memory_allocated_mb": 1473.29, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2136.0, "gpu_peak_memory_allocated_mb_max": 1473.29, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2136.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.82, "gpu_memory_peak_percent_max": 6.08, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 400, "batch": 400, "batches_total": 977, "progress_percent": 40.942, "elapsed_seconds": 1000.003, "eta_seconds": 1442.504, "items_processed": 51200, "items_per_sec": 51.2, "tokens_processed": 68925245, "tokens_per_sec": 68925.072, "field_accuracy_running": 0.9999446614583334, "all_fields_accuracy_running": 0.9997265625, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2136.0, "gpu_peak_memory_allocated_mb": 1473.29, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2136.0, "gpu_peak_memory_allocated_mb_max": 1473.29, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2136.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.82, "gpu_memory_peak_percent_max": 6.08, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 450, "batch": 450, "batches_total": 977, "progress_percent": 46.059, "elapsed_seconds": 1124.926, "eta_seconds": 1317.413, "items_processed": 57600, "items_per_sec": 51.203, "tokens_processed": 77538527, "tokens_per_sec": 68927.677, "field_accuracy_running": 0.9999450231481481, "all_fields_accuracy_running": 0.9997222222222222, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2136.0, "gpu_peak_memory_allocated_mb": 1473.29, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2136.0, "gpu_peak_memory_allocated_mb_max": 1473.29, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2136.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.82, "gpu_memory_peak_percent_max": 6.08, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 500, "batch": 500, "batches_total": 977, "progress_percent": 51.177, "elapsed_seconds": 1249.873, "eta_seconds": 1192.379, "items_processed": 64000, "items_per_sec": 51.205, "tokens_processed": 86153288, "tokens_per_sec": 68929.653, "field_accuracy_running": 0.9999348958333333, "all_fields_accuracy_running": 0.999703125, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2136.0, "gpu_peak_memory_allocated_mb": 1473.29, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2136.0, "gpu_peak_memory_allocated_mb_max": 1473.29, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2136.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.82, "gpu_memory_peak_percent_max": 6.08, "monitored_world_size": 1}
