[model_load] step 1/1 | tok/s 0.0 | items/s 0.0 | gpu-peak 1.09/23.65 GiB | 100.0% | ETA 0:00:00
[cloze_evaluate] {"event": "cloze_evaluate", "step": 550, "batch": 550, "batches_total": 977, "progress_percent": 56.295, "elapsed_seconds": 1381.796, "eta_seconds": 1072.776, "items_processed": 70400, "items_per_sec": 50.948, "tokens_processed": 94750275, "tokens_per_sec": 68570.399, "field_accuracy_running": 0.9999337121212121, "all_fields_accuracy_running": 0.9996875, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2162.0, "gpu_peak_memory_allocated_mb": 1475.55, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2162.0, "gpu_peak_memory_allocated_mb_max": 1475.55, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2162.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.93, "gpu_memory_peak_percent_max": 6.09, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 600, "batch": 600, "batches_total": 977, "progress_percent": 61.412, "elapsed_seconds": 1506.218, "eta_seconds": 946.407, "items_processed": 76800, "items_per_sec": 50.989, "tokens_processed": 103342179, "tokens_per_sec": 68610.376, "field_accuracy_running": 0.9999305555555555, "all_fields_accuracy_running": 0.9996614583333333, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2162.0, "gpu_peak_memory_allocated_mb": 1475.55, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2162.0, "gpu_peak_memory_allocated_mb_max": 1475.55, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2162.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.93, "gpu_memory_peak_percent_max": 6.09, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 650, "batch": 650, "batches_total": 977, "progress_percent": 66.53, "elapsed_seconds": 1631.832, "eta_seconds": 820.937, "items_processed": 83200, "items_per_sec": 50.986, "tokens_processed": 111969075, "tokens_per_sec": 68615.578, "field_accuracy_running": 0.9999158653846154, "all_fields_accuracy_running": 0.9996033653846154, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2162.0, "gpu_peak_memory_allocated_mb": 1475.55, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2162.0, "gpu_peak_memory_allocated_mb_max": 1475.55, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2162.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.93, "gpu_memory_peak_percent_max": 6.09, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 700, "batch": 700, "batches_total": 977, "progress_percent": 71.648, "elapsed_seconds": 1757.873, "eta_seconds": 695.615, "items_processed": 89600, "items_per_sec": 50.971, "tokens_processed": 120574525, "tokens_per_sec": 68591.157, "field_accuracy_running": 0.9999200148809524, "all_fields_accuracy_running": 0.9996205357142857, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2162.0, "gpu_peak_memory_allocated_mb": 1475.55, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2162.0, "gpu_peak_memory_allocated_mb_max": 1475.55, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2162.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.93, "gpu_memory_peak_percent_max": 6.09, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 750, "batch": 750, "batches_total": 977, "progress_percent": 76.766, "elapsed_seconds": 1882.921, "eta_seconds": 569.897, "items_processed": 96000, "items_per_sec": 50.985, "tokens_processed": 129148018, "tokens_per_sec": 68589.191, "field_accuracy_running": 0.9999253472222223, "all_fields_accuracy_running": 0.9996458333333333, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2162.0, "gpu_peak_memory_allocated_mb": 1475.55, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2162.0, "gpu_peak_memory_allocated_mb_max": 1475.55, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2162.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.93, "gpu_memory_peak_percent_max": 6.09, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 800, "batch": 800, "batches_total": 977, "progress_percent": 81.883, "elapsed_seconds": 2007.986, "eta_seconds": 444.267, "items_processed": 102400, "items_per_sec": 50.996, "tokens_processed": 137756371, "tokens_per_sec": 68604.235, "field_accuracy_running": 0.9998990885416666, "all_fields_accuracy_running": 0.99962890625, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2162.0, "gpu_peak_memory_allocated_mb": 1475.55, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2162.0, "gpu_peak_memory_allocated_mb_max": 1475.55, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2162.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.93, "gpu_memory_peak_percent_max": 6.09, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 850, "batch": 850, "batches_total": 977, "progress_percent": 87.001, "elapsed_seconds": 2132.933, "eta_seconds": 318.685, "items_processed": 108800, "items_per_sec": 51.01, "tokens_processed": 146358331, "tokens_per_sec": 68618.349, "field_accuracy_running": 0.9999019607843137, "all_fields_accuracy_running": 0.9996323529411765, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2162.0, "gpu_peak_memory_allocated_mb": 1475.55, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2162.0, "gpu_peak_memory_allocated_mb_max": 1475.55, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2162.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.93, "gpu_memory_peak_percent_max": 6.09, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 900, "batch": 900, "batches_total": 977, "progress_percent": 92.119, "elapsed_seconds": 2258.324, "eta_seconds": 193.212, "items_processed": 115200, "items_per_sec": 51.011, "tokens_processed": 154993851, "tokens_per_sec": 68632.256, "field_accuracy_running": 0.9998987268518519, "all_fields_accuracy_running": 0.999609375, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2162.0, "gpu_peak_memory_allocated_mb": 1475.55, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2162.0, "gpu_peak_memory_allocated_mb_max": 1475.55, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2162.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.93, "gpu_memory_peak_percent_max": 6.09, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 950, "batch": 950, "batches_total": 977, "progress_percent": 97.236, "elapsed_seconds": 2383.735, "eta_seconds": 67.748, "items_processed": 121600, "items_per_sec": 51.012, "tokens_processed": 163603644, "tokens_per_sec": 68633.325, "field_accuracy_running": 0.9999013157894737, "all_fields_accuracy_running": 0.9996134868421053, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2162.0, "gpu_peak_memory_allocated_mb": 1475.55, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2162.0, "gpu_peak_memory_allocated_mb_max": 1475.55, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2162.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.93, "gpu_memory_peak_percent_max": 6.09, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 977, "batch": 977, "batches_total": 977, "progress_percent": 100.0, "elapsed_seconds": 2450.636, "eta_seconds": 0.0, "items_processed": 125000, "items_per_sec": 51.007, "tokens_processed": 168177986, "tokens_per_sec": 68626.274, "field_accuracy_running": 0.9999013333333333, "all_fields_accuracy_running": 0.999608, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2162.0, "gpu_peak_memory_allocated_mb": 1475.55, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2162.0, "gpu_peak_memory_allocated_mb_max": 1475.55, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2162.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.93, "gpu_memory_peak_percent_max": 6.09, "monitored_world_size": 1}
