accuracy_after,accuracy_before,accuracy_delta,attribute,baseline_correct,baseline_errors,examples,harm_rate,harmed_correct,recovered_errors,recovery_rate
0.1292948641206752,0.12919509956502653,9.976455564866914e-05,birth_city,6475,43643,50118,0.12478764478764479,808,813,0.018628416928258826
0.08497944850153638,0.08483977812362824,0.0001396703779081368,university,4252,45866,50118,0.12535277516462842,533,540,0.011773426939345048
0.4970270162416697,0.4732231932638972,0.023803822977772456,major,23717,26401,50118,0.05557195260783404,1318,2511,0.09511003371084428
0.3551817710203919,0.4596751666068079,-0.10449339558641606,company,23038,27080,50118,0.3363573226842608,7749,2512,0.09276218611521418
0.537631190390678,0.5103755137874616,0.02725567660321641,company_city,25579,24539,50118,0.049532819891317095,1267,2633,0.1072985859244468
