attribute,baseline,gain,saturation,rmse,r_squared,leave_one_out_rmse,observed_p0,observed_p5
birth_city,0.1297245749405453,0.003638224942343533,0.13336279988288882,0.00037847377950220686,0.9194830748400336,0.0006042083604471982,0.12942256033420563,0.13350892066955566
university,0.08563372812100825,0.0015794684167031686,0.08721319653771142,0.00024357057719325549,0.8386218061113061,0.0004836864257592707,0.08531864732503891,0.08703060448169708
major,0.4812936871261389,0.0217860819516958,0.5030797690778347,0.002390640097592523,0.9112145648753412,0.0049518166996584635,0.4779680073261261,0.5011732578277588
company,0.45054963755083577,0.495384985303784,0.9459346228546197,0.003108193543536156,0.9996815486847198,0.004465375149239977,0.45133087038993835,0.9508679509162903
company_city,0.4844177136054407,0.5127494818680772,0.997167195473518,0.0009702218400485491,0.9999710285660173,0.001872677641206071,0.4855620861053467,0.9986192584037781
